,Merchandise exports to economies in the Arab World (% of total merchandise exports),Rural population,"Age dependency ratio, old (% of working-age population)","Population ages 25-29, female (% of female population)",Merchandise exports by the reporting economy (current US$),"Total reserves (includes gold, current US$)",Population growth (annual %),"Death rate, crude (per 1,000 people)"
1960,-1.214693393428075,0.9171369209051301,-2.3694526606078026,-1.7040652368517237,-0.8736642906457115,-0.8933010225078644,,0.8021730079631494
1961,-1.1459927509958907,0.8983543282689214,-2.1977783150652455,-1.6130977268928857,-0.8779207054331567,-0.8801739070317754,-1.0805639304118921,0.405589829451849
1962,-1.1785643364247649,0.8563132041637185,-2.0483294622939536,-1.3995556907696063,-0.8696980859574103,-0.874369142095817,-1.7224404542233323,-0.012783633593038753
1963,-1.190203966415853,0.7998836739476439,-1.9844055888438707,-1.2691799502173196,-0.866022091368253,-0.8642013185478638,-2.03681119644254,-0.43115709663792456
1964,-1.1893764514305474,0.749278995637249,-2.008155912740847,-1.3393929010107701,-0.8699882960565543,-0.8638522738589042,-1.8940962510053376,-0.8103080475223546
1965,-1.0511030098473673,0.7189284514971291,-2.0604455125378465,-1.5316839385345085,-0.8590570489887973,-0.850573399822398,-1.4178649750020167,-1.0761495188321266
1966,-1.1074619178869067,0.7127765903616571,-1.5645741774714033,-1.7144856412011618,-0.8496735891164748,-0.8395709041921501,-0.8424247771604702,-1.1458784293396078
1967,-1.0783129569364764,0.7259182737839447,-1.0007175521708536,-1.8708007948492937,-0.8459975945273177,-0.8355872419811983,-0.3798497828183292,-0.9846303237910579
1968,-1.1203954913763883,0.7521812025516577,-0.40402788462185724,-1.9683400839446161,-0.8403868659438671,-0.7935462509023395,-0.05595502087291772,-0.5989422875465512
1969,-1.0449584153040858,0.7822047374619849,0.19868683322373615,-1.9909913929774183,-0.8316438030236558,-0.7797622484974848,0.04022029543692343,-0.019320718953115365
1970,-0.9714456957894407,0.8086720469983183,0.8053065086079688,-1.9704543136151995,-0.822138454909693,-0.754751732063422,-0.022124341048118515,0.6692522723082633
1971,-0.9109598005314029,0.8301115896265915,0.6603278335292082,-1.5334803694691361,-0.8135105086621421,-0.6960217016819363,-0.11684997285004999,1.3621833204763574
1972,-0.9035904222014601,0.8485671730330078,0.5075743200676873,-1.1232978193123504,-0.7958947556441018,-0.6628297337910316,-0.16680656205560018,1.946162945976514
1973,-0.8089560773877281,0.8097348269951441,0.357681564894893,-0.795299409681737,-0.7589964762719377,-0.6585192481045576,-0.19907696389312426,2.3471041813945295
1974,-0.22814489131917606,0.5987934357020962,0.21614480066912264,-0.5384161782682338,-0.7720965601472974,-0.6637630033401862,-0.19021078373841538,2.530142571476667
1975,0.5559909566066212,0.3808622221222329,0.08412298057743015,-0.2859948017346347,-0.7798838644743279,-0.7185659030538872,-0.15584090285082183,2.4996361731296455
1976,1.7895337763103285,0.15739228971275854,-0.021465689839215808,0.10457724687844751,-0.6803369636329532,-0.6620401696563546,-0.09046752795013913,2.2904494416072017
1977,1.592058472138235,-0.07028788653029473,-0.1404566250805413,0.4773042550663512,-0.6059270942124337,-0.6211517229589494,-0.05664009683700744,1.9897435150436888
1978,1.7635017390119714,-0.3073695781298834,-0.2661998492407611,0.7758613621937961,-0.5958403585331857,-0.5758214117975573,-0.14764595359472082,1.6737843893066635
1979,1.5460809929386605,-0.5579608385352762,-0.39548309019407507,1.0168077418034829,-0.4872234247265641,-0.46786703764030446,-0.41235394530345454,1.3752574911965105
1980,1.835801132005637,-0.8230631335127129,-0.523565607012471,1.2993951824089442,-0.41183554727192945,-0.429282759451366,-0.7641645060015957,1.1137740767934556
1981,1.9197005357971004,-1.1004078365305077,-0.43148304348425603,1.4624844122299918,-0.3813209227139359,-0.4521136765482257,-1.1757868266632532,0.8958712314575775
1982,1.926290594215625,-1.3846810476045317,-0.3442507568701571,1.54545828193377,-0.3989299041629962,-0.35797755904017253,-1.4779714526456895,0.7062957560153617
1983,1.7079678844795023,-1.488526916140524,-0.2618045011316859,1.4402201881575236,-0.43840041238057326,-0.3873484257318536,-1.5255938089545191,0.5319734797466583
1984,1.9043753997855155,-1.5229446375761884,-0.1882430374443527,1.1649045453377467,-0.37143346463610016,-0.3965528427825471,-1.2171418995590804,0.37290440265146785
1985,1.7517187169630575,-1.540521383677537,-0.12634486522576113,0.8843562327559212,-0.4648424218805795,-0.3485140389733795,-0.6582400869865189,0.2290885247297882
1986,1.1399472980795193,-1.5398673652179522,-0.11470706520299011,0.9802054661197267,-0.44911303450697515,-0.20676644690866913,-0.03705334746430723,0.0983468175282598
1987,1.0701159146926817,-1.5234555894977393,-0.10667726137287947,1.014705108839943,-0.3523434443144084,-0.08266425440414253,0.5021467642047031,-0.02149974740647295
1988,0.8471451911007851,-1.4945765868916858,-0.08696069987257066,0.8494306416541579,-0.24798145422023934,-0.06712497734741722,0.9326269872303115,-0.1326301985277715
1989,0.4370658969660319,-1.4570522777729924,-0.053398692284507374,0.5047723591741697,-0.13938413697179602,0.07844346588627772,1.2117373945968601,-0.23722356428899344
1990,0.26561507986469146,-1.4150111536677894,-0.01257669242868685,0.15434730284731224,-0.011615467150745453,0.3634415051826474,1.3702325272858424,-0.32874275933006214
1991,0.7774779946247713,-1.3688619761133178,-0.010987317053893246,0.20591719132784295,0.018062761260478136,0.2639176692938528,1.5018653827917166,-0.40282972674426054
1992,0.7448672271735621,-1.3186660593401636,-0.011364531622537194,0.267468149550781,0.06631999450768278,-0.01808047064642138,1.6347583776164492,-0.45730543807823104
1993,0.6584878674600035,-1.2310071476789017,-0.0034003966054552575,0.24038228921173413,-0.07261109213769894,0.05439388047355974,1.6885788260627723,-0.4943489217853312
1994,0.2293006380243467,-1.131228456438454,0.014570324877743835,0.11274848553899365,0.004873477151468305,0.33053597471036983,1.6487679231858108,-0.5139601778655591
1995,-0.1017552650536129,-1.032819116347763,0.03984321962883937,-0.020231067194390984,0.263360424307609,0.06849551473112574,1.5541689681874424,-0.5226762916789952
1996,-0.2166371910745147,-0.9369645358648256,0.01775027814203857,-0.12960266535696968,0.44227499589612845,0.3792582650497174,1.428026503448017,-0.5292133770390718
1997,0.02219933227905262,-0.8435829626821946,-0.012563582922104374,-0.18659020832682435,0.28217110193100264,0.24355922521708553,1.3044432287590517,-0.5422875477592232
1998,0.14384289858346905,-0.7526743967998695,-0.04239692722737222,-0.21824276450104915,0.10732728515373485,0.23372181334547226,1.1917922121747644,-0.561898803839453
1999,0.03285075059431312,-0.6638096386037479,-0.06677786954940271,-0.2242703508188776,0.04258194118445795,0.5788034111309652,1.0958305975040334,-0.5945842306398341
2000,-0.024841861503023737,-0.5762324792499343,-0.08358372485504437,-0.14679664361477826,-0.5366868969035208,0.5037241465581266,1.018577117735397,-0.6338067428002918
2001,-0.12396501352717725,-0.49114876527328877,-0.08547579563577956,-0.09719440304687564,-0.5057681692929742,0.9040219717912887,0.9174972687028529,-0.6752082834141091
2002,0.0470291947053158,-0.3696035221747755,-0.07331660250987497,-0.04070583440639743,-0.5163531579851395,1.4998997648546006,0.813998318309516,-0.7122517671212093
2003,-0.1901759940116429,-0.2348144052696645,-0.037205518044573546,0.003994445661541467,-0.4634493853510454,1.7044509134414243,0.7475674598645754,-0.7405791370148733
2004,-0.39652070077870033,-0.0969800149121105,0.020169725566624098,0.05266772003187027,-0.008377101652161392,2.207448123232541,0.7429040691122141,-0.7558323361883841
2005,-0.7676099765305512,0.044185781973954945,0.08753155381519838,0.16452319615802033,0.4848856808947123,2.447227050470736,0.7615579395168732,-0.7645484500018203
2006,-0.5857895651780998,0.19052241230611486,0.13335740969762558,0.5046434090665897,0.3619455756519895,3.595075360124219,0.8116636990064711,-0.7732645638152544
